Drug_Name,Interactions
Salmon calcitonin,"Lithium cation, Zoledronic acid"
Interferon alfa-n3,"Methadone, Zidovudine, Clozapine, Metamizole, Theophylline, Aldesleukin, Ribavirin"
Pegfilgrastim,Pegloticase
Sargramostim,"Bleomycin, Cyclophosphamide"
Secretin,"Dicyclomine, Cyclobenzaprine, Loxapine, Benzatropine, Pizotifen, Oxybutynin, Methscopolamine, Cyclopentolate, Trimipramine, Methotrimeprazine, Cetirizine, Moclobemide, Dexchlorpheniramine maleate, Cyproheptadine, Haloperidol, Clemastine, Quetiapine, Amoxapine, Promazine, Promethazine, Levocetirizine, Procyclidine, Olopatadine, Protriptyline, Dimenhydrinate, Fesoterodine, Azelastine, Fluphenazine, Glycopyrronium, Imipramine, Aclidinium, Ipratropium, Tranylcypromine, Levocabastine, Trimethobenzamide, Darifenacin, Chlorpheniramine, Carbinoxamine, Tolterodine, Orphenadrine, Maprotiline, Thiothixene, Doxepin, Droperidol, Desloratadine, Nortriptyline, Perphenazine, Loratadine, Zuclopenthixol, Clomipramine, Pimozide, Trihexyphenidyl, Isocarboxazid, Butylscopolamine, Fexofenadine, Brompheniramine, Thioridazine, Hydroxyzine, Mepenzolate, Tiotropium, Hyoscyamine, Cyclizine, Flavoxate, Prochlorperazine, Propantheline, Meclizine, Trospium, Amitriptyline, Chlorpromazine, Solifenacin, Scopolamine, Homatropine, Desipramine, Triprolidine, Risperidone, Atropine, Flupentixol, Diphenhydramine, Phenelzine, Umeclidinium, Olanzapine, Clozapine, Doxylamine, Trifluoperazine, Disopyramide"
Peginterferon alfa-2b,"Gefitinib, Atomoxetine, Pipotiazine, Zuclopenthixol, Nefazodone, Aldesleukin, Risperidone, Promethazine, Eliglustat, Cyclobenzaprine, Chlorpheniramine, Clozapine, Procainamide, Protriptyline, Chloroquine, Thiothixene, Doxorubicin, Tolterodine, Fluoxetine, Flecainide, Propranolol, Trimipramine, Rasagiline, Desipramine, Metoprolol, Tizanidine, Thioridazine, Ramelteon, Haloperidol, Tasimelteon, Ropinirole, Clomipramine, Olanzapine, Pimozide, Mexiletine, Duloxetine, Zidovudine, Dextromethorphan, Fluvoxamine, Theophylline, Acenocoumarol, Captopril, Lidocaine, Venlafaxine, Dacarbazine, Fluphenazine, Asenapine, Timolol, Bortezomib, Amitriptyline, Mirtazapine, Promazine, Nortriptyline, Primaquine, Imipramine, Metamfetamine, Aripiprazole, Amoxapine, Chlorpromazine, Tamoxifen, Flutamide, Ropivacaine, Telbivudine, Metamizole, Pegloticase, Carvedilol, Caffeine, Aminophylline, Perphenazine, Doxepin, Trifluoperazine, Vortioxetine, Iloperidone, Bromazepam, Betaxolol, Paroxetine, Pomalidomide, Tetrabenazine, Methadone, Stiripentol, Ribavirin, Maprotiline, Alosetron, Brexpiprazole"
Asparaginase Escherichia coli,Dexamethasone
Anakinra,"Abatacept, Canakinumab, Pomalidomide, Sipuleucel-T, Pimecrolimus, Adalimumab, Infliximab, Thalidomide, Leflunomide, Roflumilast, Denosumab, Tofacitinib, Golimumab, Natalizumab, Trastuzumab, Lenalidomide, Tacrolimus, Certolizumab pegol"
Human immunoglobulin G,"Estrone sulfate, Estradiol"
Anistreplase,"Apixaban, Vortioxetine, Cangrelor, Desirudin, Dalteparin, Floctafenine, Acenocoumarol, Rivaroxaban, Sulindac, Paroxetine, Desvenlafaxine, Naproxen, Fondaparinux, Enoxaparin, Caffeine, Bismuth subsalicylate, Ticagrelor, Citalopram, Oxaprozin, Prasugrel, Nabumetone, Edoxaban, Vilazodone, Tinzaparin, Piroxicam, Vorapaxar, Warfarin, Fenoprofen, Milnacipran, Fluoxetine, Salsalate, Flurbiprofen, Meloxicam, Tolmetin, Anagrelide, Epoprostenol, Cilostazol, Aminosalicylic acid, Tiaprofenic acid, Ketorolac, Acetylsalicylic acid, Venlafaxine, Diclofenac, Sertraline, Tirofiban, Diflunisal, Etodolac, Iloprost, Aprotinin, Dabigatran etexilate, Duloxetine, Eptifibatide, Magnesium salicylate, Argatroban, Treprostinil, Dihydrocodeine, Ticlopidine, Heparin, Dipyridamole, Indomethacin, Fluvoxamine, Danaparoid, Mefenamic acid, Clopidogrel, Ketoprofen, Levomilnacipran, Ibuprofen, Escitalopram, Abciximab, Nadroparin"
Insulin human,"Aripiprazole, Everolimus, Progesterone, Pasireotide, Selegiline, Methotrimeprazine, Darunavir, Tolbutamide, Cortisone acetate, Fluoxetine, Dihydrocodeine, Canagliflozin, Ceritinib, Fosamprenavir, Tacrolimus, Oxymetholone, Octreotide, Miglitol, Hydrocortisone, Aminosalicylic acid, Gliclazide, Vildagliptin, Tedizolid phosphate, Cyproterone acetate, Prednisolone, Ciprofloxacin, Dienogest, Rasagiline, Buserelin, Liraglutide, Epinephrine, Fludrocortisone, Nilotinib, Megestrol acetate, Acarbose, Chlorpropamide, Torasemide, Bromocriptine, Insulin glulisine, Sirolimus, Betamethasone, Vorinostat, Pipotiazine, Niacin, Mecasermin, Mestranol, Sitagliptin, Levofloxacin, Gliquidone, Caffeine, Salsalate, Pentamidine, Sunitinib, Norgestimate, Ethynodiol diacetate, Ritonavir, Procarbazine, Asenapine, Insulin detemir, Acetylsalicylic acid, Dapagliflozin, Glimepiride, Sulfisoxazole, Paroxetine, Desogestrel, Corticotropin, Articaine, Norethisterone, Linezolid, Ethinylestradiol, Chlorthalidone, Lurasidone, Ziprasidone, Vortioxetine, Furosemide, Nadolol, Pioglitazone, Isocarboxazid, Testosterone, Histrelin, Estradiol, Vilazodone, Arsenic trioxide, Sulfadiazine, Sparfloxacin, Exenatide, Dexamethasone, Repaglinide, Atazanavir, Indinavir, Lanreotide, Trimethoprim, Lopinavir, Metformin, Methylprednisolone, Indapamide, Ofloxacin, Triamcinolone, Saxagliptin, Medroxyprogesterone acetate, Tranylcypromine, Metolazone, Escitalopram, Pramlintide, Moxifloxacin, Sertraline, Clozapine, Saquinavir, Alogliptin, Diazoxide, Albiglutide, Paliperidone, Gemifloxacin, Oxandrolone, Trichlormethiazide, Acetohexamide, Rosiglitazone, Bendroflumethiazide, Disopyramide, Erythromycin, Dabrafenib, Tipranavir, Glipizide, Phenelzine, Pegvisomant, Mifepristone, Insulin degludec, Insulin glargine, Methyclothiazide, Drospirenone, Tolazamide, Norfloxacin, Fluoxymesterone, Moclobemide, Quinine, Brexpiprazole, Insulin aspart, Citalopram, Etonogestrel, Etacrynic acid, Hydrochlorothiazide, Triptorelin, Bismuth subsalicylate, Methyltestosterone, Lipoic acid, Iloperidone, Dulaglutide, Glyburide, Temsirolimus, Levonorgestrel, Quetiapine, Estrone sulfate, Sulfamethoxazole, Risperidone, Danazol, Linagliptin, Empagliflozin, Olanzapine, Nelfinavir, Stanolone, Bumetanide, Insulin lispro, Metreleptin, Nateglinide, Prednisone, Chlorothiazide, Magnesium salicylate, Edetic acid, Fluvoxamine, Hydroxyprogesterone caproate"
Tenecteplase,"Dalteparin, Paroxetine, Citalopram, Ibuprofen, Abciximab, Prasugrel, Ethyl biscoumacetate, Ticlopidine, Desvenlafaxine, Dipyridamole, Ticagrelor, Tinzaparin, Bismuth subsalicylate, Mefenamic acid, Diflunisal, Aprotinin, Acenocoumarol, Caffeine, Citric acid, Escitalopram, Meloxicam, Floctafenine, Tolmetin, Danaparoid, Venlafaxine, Tiaprofenic acid, Oxaprozin, Enoxaparin, Sertraline, Etodolac, Anagrelide, Fenoprofen, Apixaban, Aminosalicylic acid, Vortioxetine, Edetic acid, Magnesium salicylate, Flurbiprofen, Cangrelor, Desirudin, Dicoumarol, Rivaroxaban, Treprostinil, Diclofenac, Dabigatran etexilate, Fondaparinux, Limaprost, Eptifibatide, Warfarin, Phenindione, Salsalate, Duloxetine, Argatroban, Levomilnacipran, Heparin, Clopidogrel, Acetylsalicylic acid, Sulodexide, Milnacipran, Ketoprofen, Vorapaxar, Ketorolac, Nabumetone, Piroxicam, Vilazodone, Phenprocoumon, Fluoxetine, Sulindac, Nadroparin, Dihydrocodeine, Cilostazol, Naproxen, Indomethacin, Fluvoxamine, Epoprostenol, Tirofiban, Edoxaban, Iloprost"
Interferon gamma-1b,"Theophylline, Tizanidine, Zidovudine"
Desmopressin,"Hydrocortisone, Diflunisal, Warfarin, Hydrocodone, Sulindac, Meperidine, Infliximab, Promazine, Vortioxetine, Pentazocine, Dexamethasone, Naproxen, Oxycodone, Floctafenine, Aminosalicylic acid, Dihydrocodeine, Hydromorphone, Ketorolac, Acenocoumarol, Fenoprofen, Citalopram, Desvenlafaxine, Betamethasone, Morphine, Oxaprozin, Fluoxetine, Ketoprofen, Venlafaxine, Carbamazepine, Cortisone acetate, Nabumetone, Fludrocortisone, Celecoxib, Buprenorphine, Fentanyl, Sertraline, Trimipramine, Imipramine, Lithium cation, Indomethacin, Bismuth subsalicylate, Triamcinolone, Methadone, Lamotrigine, Doxepin, Tapentadol, Duloxetine, Amitriptyline, Clomipramine, Vilazodone, Ibuprofen, Corticotropin, Pemetrexed, Piroxicam, Prednisolone, Levorphanol, Desipramine, Salsalate, Remifentanil, Magnesium salicylate, Etodolac, Tolmetin, Oxymorphone, Escitalopram, Alfentanil, Levomilnacipran, Butorphanol, Acetylsalicylic acid, Demeclocycline, Tramadol, Amoxapine, Chlorpromazine, Tolvaptan, Prednisone, Sufentanil, Nalbuphine, Fluvoxamine, Milnacipran, Mefenamic acid, Caffeine, Nortriptyline, Methylprednisolone, Protriptyline, Flurbiprofen, Paroxetine, Meloxicam, Tiaprofenic acid, Diclofenac"
Coagulation factor VIIa Recombinant Human,Catridecacog
Palifermin,"Enoxaparin, Ardeparin, Heparin, Dalteparin, Tinzaparin, Nadroparin"
Glucagon,"Pimozide, Clemastine, Olanzapine, Isocarboxazid, Desipramine, Protriptyline, Azelastine, Tranylcypromine, Warfarin, Zuclopenthixol, Solifenacin, Risperidone, Homatropine, Dimenhydrinate, Olopatadine, Thiothixene, Fesoterodine, Doxylamine, Clozapine, Trimipramine, Atropine, Glycopyrronium, Trifluoperazine, Triprolidine, Disopyramide, Pizotifen, Amoxapine, Tolterodine, Hyoscyamine, Levocetirizine, Aclidinium, Dicyclomine, Darifenacin, Carbinoxamine, Trospium, Moclobemide, Meclizine, Hydroxyzine, Loxapine, Loratadine, Ipratropium, Imipramine, Thioridazine, Promethazine, Cyclopentolate, Propantheline, Cyclobenzaprine, Trimethobenzamide, Benzatropine, Cyclizine, Flavoxate, Fluphenazine, Brompheniramine, Amitriptyline, Cyproheptadine, Chlorpheniramine, Mepenzolate, Chlorpromazine, Butylscopolamine, Trihexyphenidyl, Procyclidine, Doxepin, Dexchlorpheniramine maleate, Levocabastine, Methscopolamine, Quetiapine, Desloratadine, Orphenadrine, Acenocoumarol, Haloperidol, Methotrimeprazine, Tiotropium, Promazine, Perphenazine, Maprotiline, Diphenhydramine, Clomipramine, Flupentixol, Scopolamine, Umeclidinium, Nortriptyline, Phenelzine, Fexofenadine, Oxybutynin, Indomethacin, Prochlorperazine, Droperidol, Cetirizine"
Aldesleukin,"Amlodipine, Difluprednate, Valsartan, Torasemide, Clobetasol propionate, Carvedilol, Nifedipine, Eplerenone, Carteolol, Acetaminophen, Methyldopa, Ramipril, Prazosin, Triamterene, Propranolol, Heptabarbital, Iodipamide, Nadolol, Perindopril, Risperidone, Irbesartan, Ioxilan, Fluocinolone acetonide, Dexamethasone, Acebutolol, Sotalol, Iopromide, Indapamide, Esmolol, Reserpine, Aliskiren, Isosorbide, Losartan, Enalapril, Metoprolol, Trandolapril, Captopril, Methyclothiazide, Levodopa, Lisinopril, Amcinonide, Brimonidine, Amyl Nitrite, Secobarbital, Nicorandil, Nisoldipine, Atenolol, Felodipine, Azilsartan medoxomil, Iohexol, Iopamidol, Prednisolone, Cilazapril, Diltiazem, Metamizole, Betaxolol, Quetiapine, Nimodipine, Fluticasone furoate, Halcinonide, Caffeine, Labetalol, Hexobarbital, Tizanidine, Dexmedetomidine, Eprosartan, Nicardipine, Minoxidil, Butabarbital, Duloxetine, Hydrocortamate, Telmisartan, Nitroglycerin, Olmesartan, Penbutolol, Diclofenamide, Butobarbital, Fluocinonide, Timolol, Cortisone acetate, Moexipril, Phenobarbital, Isosorbide dinitrate, Verapamil, Nebivolol, Dipyridamole, Amobarbital, Butalbital, Methohexital, Hydrochlorothiazide, Methazolamide, Nitroprusside, Pentobarbital, Riociguat, Flurandrenolide, Betamethasone, Prednisone, Doxazosin, Ioversol, Candesartan cilexetil, Mecamylamine, Fludrocortisone, Metformin, Fluorometholone, Clonidine, Isradipine, Budesonide, Diatrizoate, Desoximetasone, Entacapone, Alclometasone, Etacrynic acid, Iodixanol, Ethiodized oil, Amiloride, Dapagliflozin, Chlorthalidone, Clozapine, Mannitol, Spironolactone, Terazosin, Prednicarbate, Interferon alfacon-1, Canagliflozin, Hydrocortisone, Methylprednisolone, Corticotropin, Bendroflumethiazide, Triamcinolone, Fosinopril, Diflorasone, Acetazolamide, Benazepril, Metipranolol, Pindolol, Enalaprilat, Bisoprolol, Nesiritide, Isoxsuprine, Apraclonidine, Bumetanide, Beclomethasone dipropionate, Quinapril, Chlorothiazide, Mometasone, Isosorbide mononitrate, Rimexolone, Furosemide, Ulobetasol, Clocortolone, Primidone, Empagliflozin, Dinutuximab, Clevidipine, Metolazone, Bretylium, Hydralazine, Carbidopa, Levobunolol, Guanfacine, Papaverine"
Botulinum Toxin Type B,"Botulinum toxin type A, Brompheniramine, Amitriptyline, Procyclidine, Doxylamine, Tranylcypromine, Tolterodine, Perphenazine, Loratadine, Orphenadrine, Tobramycin, Trimethobenzamide, Glycopyrronium, Doxepin, Aclidinium, Tiotropium, Methscopolamine, Rocuronium, Thioridazine, Dicyclomine, Pizotifen, Droperidol, Levocetirizine, Amoxapine, Atropine, Hyoscyamine, Zuclopenthixol, Scopolamine, Gentamicin, Phenelzine, Vecuronium, Atracurium besylate, Flavoxate, Imipramine, Chlorpheniramine, Olanzapine, Pancuronium, Amikacin, Fesoterodine, Trifluoperazine, Azelastine, Desloratadine, Protriptyline, Nortriptyline, Dimenhydrinate, Cyclizine, Prochlorperazine, Quetiapine, Trimipramine, Moclobemide, Streptomycin, Cyproheptadine, Fexofenadine, Clomipramine, Fluphenazine, Disopyramide, Haloperidol, Methotrimeprazine, Dexchlorpheniramine maleate, Cetirizine, Trospium, Promazine, Darifenacin, Pimozide, Kanamycin, Isocarboxazid, Homatropine, Hydroxyzine, Ipratropium, Cyclobenzaprine, Benzatropine, Cisatracurium, Butylscopolamine, Meclizine, Carbinoxamine, Clemastine, Trihexyphenidyl, Promethazine, Diphenhydramine, Flupentixol, Maprotiline, Mepenzolate, Risperidone, Umeclidinium, Clozapine, Cyclopentolate, Levocabastine, Desipramine, Loxapine, Solifenacin, Triprolidine, Thiothixene, Neomycin, Olopatadine, Oxybutynin, Chlorpromazine, Propantheline, Succinylcholine"
Omalizumab,"Belimumab, Loxapine"
Insulin lispro,"Norgestimate, Albiglutide, Bromocriptine, Brexpiprazole, Dapagliflozin, Bumetanide, Articaine, Methylprednisolone, Canagliflozin, Erythromycin, Iloperidone, Ceritinib, Chlorthalidone, Dabrafenib, Cyproterone acetate, Everolimus, Acetylsalicylic acid, Tacrolimus, Diazoxide, Furosemide, Insulin detemir, Pegvisomant, Pioglitazone, Pramlintide, Repaglinide, Nadolol, Lanreotide, Methotrimeprazine, Progesterone, Medroxyprogesterone acetate, Acetohexamide, Alogliptin, Arsenic trioxide, Hydrochlorothiazide, Metolazone, Niacin, Sparfloxacin, Miglitol, Buserelin, Insulin aspart, Disopyramide, Hydrocortisone, Trimethoprim, Tolbutamide, Bendroflumethiazide, Insulin degludec, Epinephrine, Liraglutide, Paroxetine, Nilotinib, Pipotiazine, Testosterone, Oxandrolone, Mecasermin, Quinine, Indapamide, Betamethasone, Trichlormethiazide, Lopinavir, Histrelin, Insulin glargine, Vildagliptin, Phenelzine, Nelfinavir, Aripiprazole, Mestranol, Desogestrel, Hydroxyprogesterone caproate, Levonorgestrel, Torasemide, Triamcinolone, Danazol, Etacrynic acid, Estrone sulfate, Atazanavir, Glyburide, Dulaglutide, Glimepiride, Sirolimus, Vorinostat, Temsirolimus, Lurasidone, Prednisone, Insulin glulisine, Acarbose, Gliquidone, Norethisterone, Saxagliptin, Nateglinide, Dexamethasone, Indinavir, Sunitinib, Linagliptin, Triptorelin, Megestrol acetate, Methyclothiazide, Sulfadiazine, Pasireotide, Dienogest, Risperidone, Mifepristone, Pentamidine, Fludrocortisone, Stanolone, Cortisone acetate, Paliperidone, Sitagliptin, Ethinylestradiol, Glipizide, Metreleptin, Quetiapine, Prednisolone, Drospirenone, Chlorpropamide, Etonogestrel, Edetic acid, Sulfamethoxazole, Tipranavir, Gliclazide, Tolazamide, Lipoic acid, Darunavir, Saquinavir, Estradiol, Olanzapine, Clozapine, Chlorothiazide, Sulfisoxazole, Octreotide, Ethynodiol diacetate, Ritonavir, Ziprasidone, Asenapine, Empagliflozin, Exenatide, Rosiglitazone, Tranylcypromine, Fosamprenavir, Metformin, Corticotropin"
