Interaction,Drug_Name
Gadobenic acid,Leuprolide
Mirtazapine,Leuprolide
Venlafaxine,Leuprolide
Panobinostat,Leuprolide
Escitalopram,Leuprolide
Fosphenytoin,Leuprolide
Eliglustat,Leuprolide
Metformin,Leuprolide
Tamoxifen,Leuprolide
Tizanidine,Leuprolide
Mirabegron,Leuprolide
Olanzapine,Leuprolide
Repaglinide,Leuprolide
Promethazine,Leuprolide
Ofloxacin,Leuprolide
Imipramine,Leuprolide
Citalopram,Leuprolide
Bedaquiline,Leuprolide
Domperidone,Leuprolide
Lopinavir,Leuprolide
Albiglutide,Leuprolide
Foscarnet,Leuprolide
Rosiglitazone,Leuprolide
Gliquidone,Leuprolide
Desflurane,Leuprolide
Dronedarone,Leuprolide
Mifepristone,Leuprolide
Amitriptyline,Leuprolide
Acetohexamide,Leuprolide
Propafenone,Leuprolide
Granisetron,Leuprolide
Empagliflozin,Leuprolide
Nilotinib,Leuprolide
Telavancin,Leuprolide
Sotalol,Leuprolide
Ciprofloxacin,Leuprolide
Sunitinib,Leuprolide
Triptorelin,Leuprolide
Insulin lispro,Leuprolide
Thioridazine,Leuprolide
Glipizide,Leuprolide
Vorinostat,Leuprolide
Pasireotide,Leuprolide
Acarbose,Leuprolide
Dofetilide,Leuprolide
Fluoxetine,Leuprolide
Lumefantrine,Leuprolide
Cisapride,Leuprolide
Atazanavir,Leuprolide
Ibandronate,Leuprolide
Dasatinib,Leuprolide
Saxagliptin,Leuprolide
Dabrafenib,Leuprolide
Miglitol,Leuprolide
Bosutinib,Leuprolide
Degarelix,Leuprolide
Nelfinavir,Leuprolide
Primaquine,Leuprolide
Chloroquine,Leuprolide
Nicardipine,Leuprolide
Terbutaline,Leuprolide
Crizotinib,Leuprolide
Trimethoprim,Leuprolide
Quetiapine,Leuprolide
Trimipramine,Leuprolide
Insulin glulisine,Leuprolide
Insulin detemir,Leuprolide
Trazodone,Leuprolide
Solifenacin,Leuprolide
Vandetanib,Leuprolide
Isoflurane,Leuprolide
Nortriptyline,Leuprolide
Olodaterol,Leuprolide
Insulin human,Leuprolide
Chlorpropamide,Leuprolide
Exenatide,Leuprolide
Bortezomib,Leuprolide
Itraconazole,Leuprolide
Ritonavir,Leuprolide
Ranolazine,Leuprolide
Glimepiride,Leuprolide
Risperidone,Leuprolide
Flecainide,Leuprolide
Glyburide,Leuprolide
Indacaterol,Leuprolide
Fingolimod,Leuprolide
Tolazamide,Leuprolide
Flupentixol,Leuprolide
Salmeterol,Leuprolide
Thiothixene,Leuprolide
Disopyramide,Leuprolide
Methotrimeprazine,Leuprolide
Nateglinide,Leuprolide
Arsenic trioxide,Leuprolide
Galantamine,Leuprolide
Sevoflurane,Leuprolide
Desipramine,Leuprolide
Treprostinil,Leuprolide
Posaconazole,Leuprolide
Indapamide,Leuprolide
Asenapine,Leuprolide
Mefloquine,Leuprolide
Ziprasidone,Leuprolide
Tacrolimus,Leuprolide
Liraglutide,Leuprolide
Lithium cation,Leuprolide
Ketoconazole,Leuprolide
Maprotiline,Leuprolide
Ibutilide,Leuprolide
Goserelin,Leuprolide
Toremifene,Leuprolide
Gliclazide,Leuprolide
Ceritinib,Leuprolide
Norfloxacin,Leuprolide
Octreotide,Leuprolide
Tolterodine,Leuprolide
Metronidazole,Leuprolide
Methadone,Leuprolide
Doxepin,Leuprolide
Clarithromycin,Leuprolide
Levofloxacin,Leuprolide
Procainamide,Leuprolide
Sorafenib,Leuprolide
Amoxapine,Leuprolide
Paroxetine,Leuprolide
Quinine,Leuprolide
Canagliflozin,Leuprolide
Alogliptin,Leuprolide
Rilpivirine,Leuprolide
Pramlintide,Leuprolide
Lenvatinib,Leuprolide
Tetrabenazine,Leuprolide
Choline C 11,Leuprolide
Osimertinib,Leuprolide
Dolasetron,Leuprolide
Fluticasone propionate,Leuprolide
Aripiprazole,Leuprolide
Alfuzosin,Leuprolide
Lapatinib,Leuprolide
Erythromycin,Leuprolide
Sertraline,Leuprolide
Perflutren,Leuprolide
Pioglitazone,Leuprolide
Amantadine,Leuprolide
Isradipine,Leuprolide
Hydroxyzine,Leuprolide
Sulfamethoxazole,Leuprolide
Ondansetron,Leuprolide
Dapagliflozin,Leuprolide
Buserelin,Leuprolide
Moexipril,Leuprolide
Eribulin,Leuprolide
Oxytocin,Leuprolide
Corifollitropin alfa,Leuprolide
Sitagliptin,Leuprolide
Chlorpromazine,Leuprolide
Propofol,Leuprolide
Arformoterol,Leuprolide
Quinidine,Leuprolide
Pimozide,Leuprolide
Diphenhydramine,Leuprolide
Ivabradine,Leuprolide
Anagrelide,Leuprolide
Clomipramine,Leuprolide
Dulaglutide,Leuprolide
Histrelin,Leuprolide
Pazopanib,Leuprolide
Moxifloxacin,Leuprolide
Clozapine,Leuprolide
Amiodarone,Leuprolide
Droperidol,Leuprolide
Vildagliptin,Leuprolide
Voriconazole,Leuprolide
Vemurafenib,Leuprolide
Apomorphine,Leuprolide
Artemether,Leuprolide
Formoterol,Leuprolide
Salbutamol,Leuprolide
Vilanterol,Leuprolide
Fluconazole,Leuprolide
Insulin glargine,Leuprolide
Saquinavir,Leuprolide
Promazine,Leuprolide
Vardenafil,Leuprolide
Gemifloxacin,Leuprolide
Capromab pendetide,Leuprolide
Telithromycin,Leuprolide
Zuclopenthixol,Leuprolide
Azithromycin,Leuprolide
Clozapine,Peginterferon alfa-2a
Metamizole,Peginterferon alfa-2a
Tizanidine,Peginterferon alfa-2a
Aldesleukin,Peginterferon alfa-2a
Theophylline,Peginterferon alfa-2a
Aminophylline,Peginterferon alfa-2a
Methadone,Peginterferon alfa-2a
Telbivudine,Peginterferon alfa-2a
Ribavirin,Peginterferon alfa-2a
Pegloticase,Peginterferon alfa-2a
Zidovudine,Peginterferon alfa-2a
Fenoprofen,Alteplase
Salsalate,Alteplase
Naproxen,Alteplase
Cilostazol,Alteplase
Epoprostenol,Alteplase
Dalteparin,Alteplase
Desvenlafaxine,Alteplase
Citalopram,Alteplase
Floctafenine,Alteplase
Apixaban,Alteplase
Desirudin,Alteplase
Warfarin,Alteplase
Treprostinil,Alteplase
Flurbiprofen,Alteplase
Abciximab,Alteplase
Nadroparin,Alteplase
Limaprost,Alteplase
Eptifibatide,Alteplase
Aprotinin,Alteplase
Sulindac,Alteplase
Heparin,Alteplase
Cangrelor,Alteplase
Edoxaban,Alteplase
Oxaprozin,Alteplase
Anagrelide,Alteplase
Dabigatran etexilate,Alteplase
Sulodexide,Alteplase
Magnesium salicylate,Alteplase
Acenocoumarol,Alteplase
Levomilnacipran,Alteplase
Vorapaxar,Alteplase
Venlafaxine,Alteplase
Ketorolac,Alteplase
Phenindione,Alteplase
Fondaparinux,Alteplase
Iloprost,Alteplase
Danaparoid,Alteplase
Edetic acid,Alteplase
Fluvoxamine,Alteplase
Vortioxetine,Alteplase
Ticagrelor,Alteplase
Piroxicam,Alteplase
Dipyridamole,Alteplase
Tiaprofenic acid,Alteplase
Ibuprofen,Alteplase
Etodolac,Alteplase
Prasugrel,Alteplase
Nitroglycerin,Alteplase
Milnacipran,Alteplase
Enoxaparin,Alteplase
Acetylsalicylic acid,Alteplase
Tirofiban,Alteplase
Ethyl biscoumacetate,Alteplase
Sertraline,Alteplase
Aminosalicylic acid,Alteplase
Diclofenac,Alteplase
Caffeine,Alteplase
Phenprocoumon,Alteplase
Bismuth subsalicylate,Alteplase
Mefenamic acid,Alteplase
Clopidogrel,Alteplase
Tolmetin,Alteplase
Argatroban,Alteplase
Indomethacin,Alteplase
Meloxicam,Alteplase
Diflunisal,Alteplase
Ketoprofen,Alteplase
Paroxetine,Alteplase
Fluoxetine,Alteplase
Citric acid,Alteplase
Tinzaparin,Alteplase
Rivaroxaban,Alteplase
Escitalopram,Alteplase
Ticlopidine,Alteplase
Nabumetone,Alteplase
Duloxetine,Alteplase
Dihydrocodeine,Alteplase
Vilazodone,Alteplase
Dicoumarol,Alteplase
Thalidomide,Darbepoetin alfa
Nandrolone phenpropionate,Darbepoetin alfa
Lenalidomide,Darbepoetin alfa
Clopidogrel,Urokinase
Indomethacin,Urokinase
Oxaprozin,Urokinase
Cilostazol,Urokinase
Prasugrel,Urokinase
Dabigatran etexilate,Urokinase
Diclofenac,Urokinase
Anagrelide,Urokinase
Floctafenine,Urokinase
Apixaban,Urokinase
Acetylsalicylic acid,Urokinase
Magnesium salicylate,Urokinase
Nabumetone,Urokinase
Ticagrelor,Urokinase
Fluvoxamine,Urokinase
Vortioxetine,Urokinase
Epoprostenol,Urokinase
Fenoprofen,Urokinase
Vilazodone,Urokinase
Nadroparin,Urokinase
Aminosalicylic acid,Urokinase
Eptifibatide,Urokinase
Acenocoumarol,Urokinase
Piroxicam,Urokinase
Caffeine,Urokinase
Dipyridamole,Urokinase
Tiaprofenic acid,Urokinase
Iloprost,Urokinase
Argatroban,Urokinase
Paroxetine,Urokinase
Ketorolac,Urokinase
Salsalate,Urokinase
Dalteparin,Urokinase
Diflunisal,Urokinase
Aprotinin,Urokinase
Mefenamic acid,Urokinase
Ticlopidine,Urokinase
Tirofiban,Urokinase
Milnacipran,Urokinase
Desirudin,Urokinase
Ketoprofen,Urokinase
Edoxaban,Urokinase
Levomilnacipran,Urokinase
Enoxaparin,Urokinase
Rivaroxaban,Urokinase
Fluoxetine,Urokinase
Flurbiprofen,Urokinase
Duloxetine,Urokinase
Dihydrocodeine,Urokinase
Abciximab,Urokinase
Cangrelor,Urokinase
Venlafaxine,Urokinase
Treprostinil,Urokinase
Bismuth subsalicylate,Urokinase
Danaparoid,Urokinase
Naproxen,Urokinase
Tolmetin,Urokinase
Tinzaparin,Urokinase
Sertraline,Urokinase
Fondaparinux,Urokinase
Ibuprofen,Urokinase
Warfarin,Urokinase
Citalopram,Urokinase
Heparin,Urokinase
Etodolac,Urokinase
Desvenlafaxine,Urokinase
Escitalopram,Urokinase
Sulindac,Urokinase
Meloxicam,Urokinase
Vorapaxar,Urokinase
Dofetilide,Goserelin
Lopinavir,Goserelin
Paroxetine,Goserelin
Bortezomib,Goserelin
Desflurane,Goserelin
Propafenone,Goserelin
Lithium cation,Goserelin
Vardenafil,Goserelin
Promazine,Goserelin
Dolasetron,Goserelin
Ofloxacin,Goserelin
Granisetron,Goserelin
Galantamine,Goserelin
Salbutamol,Goserelin
Ivabradine,Goserelin
Famotidine,Goserelin
Trimipramine,Goserelin
Oxytocin,Goserelin
Atazanavir,Goserelin
Eribulin,Goserelin
Mifepristone,Goserelin
Clarithromycin,Goserelin
Metoclopramide,Goserelin
Vandetanib,Goserelin
Metformin,Goserelin
Ranolazine,Goserelin
Ciprofloxacin,Goserelin
Perflutren,Goserelin
Gliquidone,Goserelin
Arsenic trioxide,Goserelin
Rilpivirine,Goserelin
Alogliptin,Goserelin
Paliperidone,Goserelin
Lapatinib,Goserelin
Insulin detemir,Goserelin
Moexipril,Goserelin
Sulfisoxazole,Goserelin
Felbamate,Goserelin
Chlorpropamide,Goserelin
Trimethoprim,Goserelin
Lenvatinib,Goserelin
Sorafenib,Goserelin
Flecainide,Goserelin
Nelfinavir,Goserelin
Citalopram,Goserelin
Glyburide,Goserelin
Foscarnet,Goserelin
Chlorpromazine,Goserelin
Insulin human,Goserelin
Corifollitropin alfa,Goserelin
Methadone,Goserelin
Alfuzosin,Goserelin
Sunitinib,Goserelin
Primaquine,Goserelin
Flupentixol,Goserelin
Arformoterol,Goserelin
Solifenacin,Goserelin
Hydroxyzine,Goserelin
Voriconazole,Goserelin
Mirtazapine,Goserelin
Osimertinib,Goserelin
Isoflurane,Goserelin
Crizotinib,Goserelin
Desipramine,Goserelin
Haloperidol,Goserelin
Ziprasidone,Goserelin
Anagrelide,Goserelin
Propofol,Goserelin
Fluconazole,Goserelin
Olodaterol,Goserelin
Choline C 11,Goserelin
Nilotinib,Goserelin
Erythromycin,Goserelin
Ketoconazole,Goserelin
Octreotide,Goserelin
Saquinavir,Goserelin
Insulin glargine,Goserelin
Acetohexamide,Goserelin
Nicardipine,Goserelin
Telithromycin,Goserelin
Formoterol,Goserelin
Indapamide,Goserelin
Apomorphine,Goserelin
Histrelin,Goserelin
Escitalopram,Goserelin
Metronidazole,Goserelin
Isradipine,Goserelin
Fluoxetine,Goserelin
Vildagliptin,Goserelin
Vorinostat,Goserelin
Norfloxacin,Goserelin
Protriptyline,Goserelin
Treprostinil,Goserelin
Fingolimod,Goserelin
Amantadine,Goserelin
Procainamide,Goserelin
Amiodarone,Goserelin
Levofloxacin,Goserelin
Olanzapine,Goserelin
Zuclopenthixol,Goserelin
Dasatinib,Goserelin
Gadobenic acid,Goserelin
Degarelix,Goserelin
Asenapine,Goserelin
Pimozide,Goserelin
Diphenhydramine,Goserelin
Tolterodine,Goserelin
Tetrabenazine,Goserelin
Chloroquine,Goserelin
Dabrafenib,Goserelin
Fluticasone propionate,Goserelin
Insulin glulisine,Goserelin
Ezogabine,Goserelin
Triptorelin,Goserelin
Sotalol,Goserelin
Ritonavir,Goserelin
Artemether,Goserelin
Ondansetron,Goserelin
Capromab pendetide,Goserelin
Ibandronate,Goserelin
Bosutinib,Goserelin
Quinine,Goserelin
Buserelin,Goserelin
Amoxapine,Goserelin
Panobinostat,Goserelin
Pasireotide,Goserelin
Fosphenytoin,Goserelin
Amitriptyline,Goserelin
Droperidol,Goserelin
Gliclazide,Goserelin
Salmeterol,Goserelin
Saxagliptin,Goserelin
Vemurafenib,Goserelin
Disopyramide,Goserelin
Imipramine,Goserelin
Doxepin,Goserelin
Ibutilide,Goserelin
Clozapine,Goserelin
Terbutaline,Goserelin
Thiothixene,Goserelin
Toremifene,Goserelin
Cisapride,Goserelin
Thioridazine,Goserelin
Dronedarone,Goserelin
Promethazine,Goserelin
Glimepiride,Goserelin
Linagliptin,Goserelin
Repaglinide,Goserelin
Indacaterol,Goserelin
Maprotiline,Goserelin
Sertraline,Goserelin
Lumefantrine,Goserelin
Insulin aspart,Goserelin
Azithromycin,Goserelin
Risperidone,Goserelin
Venlafaxine,Goserelin
Nortriptyline,Goserelin
Eliglustat,Goserelin
Vilanterol,Goserelin
Telavancin,Goserelin
Methotrimeprazine,Goserelin
Bedaquiline,Goserelin
Sulfamethoxazole,Goserelin
Pentamidine,Goserelin
Mirabegron,Goserelin
Iloperidone,Goserelin
Sevoflurane,Goserelin
Gemifloxacin,Goserelin
Moxifloxacin,Goserelin
Tolbutamide,Goserelin
Quinidine,Goserelin
Ceritinib,Goserelin
Trazodone,Goserelin
Posaconazole,Goserelin
Clomipramine,Goserelin
Domperidone,Goserelin
Canagliflozin,Goserelin
Tizanidine,Goserelin
Insulin lispro,Goserelin
Atomoxetine,Goserelin
Quetiapine,Goserelin
Pazopanib,Goserelin
Mefloquine,Goserelin
Tacrolimus,Goserelin
Tamoxifen,Goserelin
Itraconazole,Goserelin
Aripiprazole,Goserelin
Ethyl biscoumacetate,Reteplase
Levomilnacipran,Reteplase
Ketoprofen,Reteplase
Escitalopram,Reteplase
Aminosalicylic acid,Reteplase
Meloxicam,Reteplase
Enoxaparin,Reteplase
Bismuth subsalicylate,Reteplase
Apixaban,Reteplase
Ticagrelor,Reteplase
Floctafenine,Reteplase
Phenprocoumon,Reteplase
Tirofiban,Reteplase
Venlafaxine,Reteplase
Treprostinil,Reteplase
Rivaroxaban,Reteplase
Ticlopidine,Reteplase
Duloxetine,Reteplase
Piroxicam,Reteplase
Desirudin,Reteplase
Edoxaban,Reteplase
Dabigatran etexilate,Reteplase
Mefenamic acid,Reteplase
Desvenlafaxine,Reteplase
Tolmetin,Reteplase
Fluvoxamine,Reteplase
Diclofenac,Reteplase
Vilazodone,Reteplase
Fondaparinux,Reteplase
Acetylsalicylic acid,Reteplase
Iloprost,Reteplase
Anagrelide,Reteplase
Nadroparin,Reteplase
Prasugrel,Reteplase
Diflunisal,Reteplase
Etodolac,Reteplase
Milnacipran,Reteplase
Sertraline,Reteplase
Dihydrocodeine,Reteplase
Argatroban,Reteplase
Salsalate,Reteplase
Danaparoid,Reteplase
Phenindione,Reteplase
Edetic acid,Reteplase
Sulindac,Reteplase
Dipyridamole,Reteplase
Clopidogrel,Reteplase
Flurbiprofen,Reteplase
Ibuprofen,Reteplase
Fluoxetine,Reteplase
Citalopram,Reteplase
Eptifibatide,Reteplase
Vorapaxar,Reteplase
Warfarin,Reteplase
Tiaprofenic acid,Reteplase
Abciximab,Reteplase
Nabumetone,Reteplase
Dicoumarol,Reteplase
Indomethacin,Reteplase
Magnesium salicylate,Reteplase
Acenocoumarol,Reteplase
Fenoprofen,Reteplase
Heparin,Reteplase
Limaprost,Reteplase
Citric acid,Reteplase
Cilostazol,Reteplase
Caffeine,Reteplase
Cangrelor,Reteplase
Oxaprozin,Reteplase
Sulodexide,Reteplase
Naproxen,Reteplase
Dalteparin,Reteplase
Epoprostenol,Reteplase
Tinzaparin,Reteplase
Paroxetine,Reteplase
Ketorolac,Reteplase
Vortioxetine,Reteplase
Aprotinin,Reteplase
Thalidomide,Erythropoietin
Lenalidomide,Erythropoietin
Nandrolone phenpropionate,Erythropoietin
Lithium cation,Salmon calcitonin
Zoledronic acid,Salmon calcitonin
Methadone,Interferon alfa-n3
Zidovudine,Interferon alfa-n3
Clozapine,Interferon alfa-n3
Metamizole,Interferon alfa-n3
Theophylline,Interferon alfa-n3
Aldesleukin,Interferon alfa-n3
Ribavirin,Interferon alfa-n3
Pegloticase,Pegfilgrastim
Bleomycin,Sargramostim
Cyclophosphamide,Sargramostim
Dicyclomine,Secretin
Cyclobenzaprine,Secretin
Loxapine,Secretin
Benzatropine,Secretin
Pizotifen,Secretin
Oxybutynin,Secretin
Methscopolamine,Secretin
Cyclopentolate,Secretin
Trimipramine,Secretin
Methotrimeprazine,Secretin
Cetirizine,Secretin
Moclobemide,Secretin
Dexchlorpheniramine maleate,Secretin
Cyproheptadine,Secretin
Haloperidol,Secretin
Clemastine,Secretin
Quetiapine,Secretin
Amoxapine,Secretin
Promazine,Secretin
Promethazine,Secretin
Levocetirizine,Secretin
Procyclidine,Secretin
Olopatadine,Secretin
Protriptyline,Secretin
Dimenhydrinate,Secretin
Fesoterodine,Secretin
Azelastine,Secretin
Fluphenazine,Secretin
Glycopyrronium,Secretin
Imipramine,Secretin
Aclidinium,Secretin
Ipratropium,Secretin
Tranylcypromine,Secretin
Levocabastine,Secretin
Trimethobenzamide,Secretin
Darifenacin,Secretin
Chlorpheniramine,Secretin
Carbinoxamine,Secretin
Tolterodine,Secretin
Orphenadrine,Secretin
Maprotiline,Secretin
Thiothixene,Secretin
Doxepin,Secretin
Droperidol,Secretin
Desloratadine,Secretin
Nortriptyline,Secretin
Perphenazine,Secretin
Loratadine,Secretin
Zuclopenthixol,Secretin
Clomipramine,Secretin
Pimozide,Secretin
Trihexyphenidyl,Secretin
Isocarboxazid,Secretin
Butylscopolamine,Secretin
Fexofenadine,Secretin
Brompheniramine,Secretin
Thioridazine,Secretin
Hydroxyzine,Secretin
Mepenzolate,Secretin
Tiotropium,Secretin
Hyoscyamine,Secretin
Cyclizine,Secretin
Flavoxate,Secretin
Prochlorperazine,Secretin
Propantheline,Secretin
Meclizine,Secretin
Trospium,Secretin
Amitriptyline,Secretin
Chlorpromazine,Secretin
Solifenacin,Secretin
Scopolamine,Secretin
Homatropine,Secretin
Desipramine,Secretin
Triprolidine,Secretin
Risperidone,Secretin
Atropine,Secretin
Flupentixol,Secretin
Diphenhydramine,Secretin
Phenelzine,Secretin
Umeclidinium,Secretin
Olanzapine,Secretin
Clozapine,Secretin
Doxylamine,Secretin
Trifluoperazine,Secretin
Disopyramide,Secretin
Gefitinib,Peginterferon alfa-2b
Atomoxetine,Peginterferon alfa-2b
Pipotiazine,Peginterferon alfa-2b
Zuclopenthixol,Peginterferon alfa-2b
Nefazodone,Peginterferon alfa-2b
Aldesleukin,Peginterferon alfa-2b
Risperidone,Peginterferon alfa-2b
Promethazine,Peginterferon alfa-2b
Eliglustat,Peginterferon alfa-2b
Cyclobenzaprine,Peginterferon alfa-2b
Chlorpheniramine,Peginterferon alfa-2b
Clozapine,Peginterferon alfa-2b
Procainamide,Peginterferon alfa-2b
Protriptyline,Peginterferon alfa-2b
Chloroquine,Peginterferon alfa-2b
Thiothixene,Peginterferon alfa-2b
Doxorubicin,Peginterferon alfa-2b
Tolterodine,Peginterferon alfa-2b
Fluoxetine,Peginterferon alfa-2b
Flecainide,Peginterferon alfa-2b
Propranolol,Peginterferon alfa-2b
Trimipramine,Peginterferon alfa-2b
Rasagiline,Peginterferon alfa-2b
Desipramine,Peginterferon alfa-2b
Metoprolol,Peginterferon alfa-2b
Tizanidine,Peginterferon alfa-2b
Thioridazine,Peginterferon alfa-2b
Ramelteon,Peginterferon alfa-2b
Haloperidol,Peginterferon alfa-2b
Tasimelteon,Peginterferon alfa-2b
Ropinirole,Peginterferon alfa-2b
Clomipramine,Peginterferon alfa-2b
Olanzapine,Peginterferon alfa-2b
Pimozide,Peginterferon alfa-2b
Mexiletine,Peginterferon alfa-2b
Duloxetine,Peginterferon alfa-2b
Zidovudine,Peginterferon alfa-2b
Dextromethorphan,Peginterferon alfa-2b
Fluvoxamine,Peginterferon alfa-2b
Theophylline,Peginterferon alfa-2b
Acenocoumarol,Peginterferon alfa-2b
Captopril,Peginterferon alfa-2b
Lidocaine,Peginterferon alfa-2b
Venlafaxine,Peginterferon alfa-2b
Dacarbazine,Peginterferon alfa-2b
Fluphenazine,Peginterferon alfa-2b
Asenapine,Peginterferon alfa-2b
Timolol,Peginterferon alfa-2b
Bortezomib,Peginterferon alfa-2b
Amitriptyline,Peginterferon alfa-2b
Mirtazapine,Peginterferon alfa-2b
Promazine,Peginterferon alfa-2b
Nortriptyline,Peginterferon alfa-2b
Primaquine,Peginterferon alfa-2b
Imipramine,Peginterferon alfa-2b
Metamfetamine,Peginterferon alfa-2b
Aripiprazole,Peginterferon alfa-2b
Amoxapine,Peginterferon alfa-2b
Chlorpromazine,Peginterferon alfa-2b
Tamoxifen,Peginterferon alfa-2b
Flutamide,Peginterferon alfa-2b
Ropivacaine,Peginterferon alfa-2b
Telbivudine,Peginterferon alfa-2b
Metamizole,Peginterferon alfa-2b
Pegloticase,Peginterferon alfa-2b
Carvedilol,Peginterferon alfa-2b
Caffeine,Peginterferon alfa-2b
Aminophylline,Peginterferon alfa-2b
Perphenazine,Peginterferon alfa-2b
Doxepin,Peginterferon alfa-2b
Trifluoperazine,Peginterferon alfa-2b
Vortioxetine,Peginterferon alfa-2b
Iloperidone,Peginterferon alfa-2b
Bromazepam,Peginterferon alfa-2b
Betaxolol,Peginterferon alfa-2b
Paroxetine,Peginterferon alfa-2b
Pomalidomide,Peginterferon alfa-2b
Tetrabenazine,Peginterferon alfa-2b
Methadone,Peginterferon alfa-2b
Stiripentol,Peginterferon alfa-2b
Ribavirin,Peginterferon alfa-2b
Maprotiline,Peginterferon alfa-2b
Alosetron,Peginterferon alfa-2b
Brexpiprazole,Peginterferon alfa-2b
Dexamethasone,Asparaginase Escherichia coli
Abatacept,Anakinra
Canakinumab,Anakinra
Pomalidomide,Anakinra
Sipuleucel-T,Anakinra
Pimecrolimus,Anakinra
Adalimumab,Anakinra
Infliximab,Anakinra
Thalidomide,Anakinra
Leflunomide,Anakinra
Roflumilast,Anakinra
Denosumab,Anakinra
Tofacitinib,Anakinra
Golimumab,Anakinra
Natalizumab,Anakinra
Trastuzumab,Anakinra
Lenalidomide,Anakinra
Tacrolimus,Anakinra
Certolizumab pegol,Anakinra
Estrone sulfate,Human immunoglobulin G
Estradiol,Human immunoglobulin G
Apixaban,Anistreplase
Vortioxetine,Anistreplase
Cangrelor,Anistreplase
Desirudin,Anistreplase
Dalteparin,Anistreplase
Floctafenine,Anistreplase
Acenocoumarol,Anistreplase
Rivaroxaban,Anistreplase
Sulindac,Anistreplase
Paroxetine,Anistreplase
Desvenlafaxine,Anistreplase
Naproxen,Anistreplase
Fondaparinux,Anistreplase
Enoxaparin,Anistreplase
Caffeine,Anistreplase
Bismuth subsalicylate,Anistreplase
Ticagrelor,Anistreplase
Citalopram,Anistreplase
Oxaprozin,Anistreplase
Prasugrel,Anistreplase
Nabumetone,Anistreplase
Edoxaban,Anistreplase
Vilazodone,Anistreplase
Tinzaparin,Anistreplase
Piroxicam,Anistreplase
Vorapaxar,Anistreplase
Warfarin,Anistreplase
Fenoprofen,Anistreplase
Milnacipran,Anistreplase
Fluoxetine,Anistreplase
Salsalate,Anistreplase
Flurbiprofen,Anistreplase
Meloxicam,Anistreplase
Tolmetin,Anistreplase
Anagrelide,Anistreplase
Epoprostenol,Anistreplase
Cilostazol,Anistreplase
Aminosalicylic acid,Anistreplase
Tiaprofenic acid,Anistreplase
Ketorolac,Anistreplase
Acetylsalicylic acid,Anistreplase
Venlafaxine,Anistreplase
Diclofenac,Anistreplase
Sertraline,Anistreplase
Tirofiban,Anistreplase
Diflunisal,Anistreplase
Etodolac,Anistreplase
Iloprost,Anistreplase
Aprotinin,Anistreplase
Dabigatran etexilate,Anistreplase
Duloxetine,Anistreplase
Eptifibatide,Anistreplase
Magnesium salicylate,Anistreplase
Argatroban,Anistreplase
Treprostinil,Anistreplase
Dihydrocodeine,Anistreplase
