drug,effect
methotrexate,atrial fibrillation
cyclophosphamide,hepatic angiosarcoma
ara-c,dermatologic toxicity
ara-c,toxic epidermal necrolysis
ara-c,"bullous lesions on the hands and soles that disseminated, evolving to necrosis"
ara-c,death
ara-c,sepsis
cytosine arabinoside,toxic epidermal necrolysis
ara-c,ten
cytosine arabinoside,ten
quetiapine,obsessive-compulsive symptoms
quetiapine,ocs
quetiapine,exacerbating ocs
clomipramine,serotonin syndrome
clozapine,serotonin syndrome
clomipramine,agitated
clozapine,agitated
clomipramine,behaving oddly
clozapine,behaving oddly
clomipramine,confused
clozapine,confused
clomipramine,shivering
clozapine,shivering
clomipramine,sweating profusely
clozapine,sweating profusely
clomipramine,tremulous
clozapine,tremulous
quinine,coagulopathy
quinine,severe thrombocytopoaenia
olanzapine,leukopenia
olanzapine,agranulocytosis
5-fu,dermatologic and ocular 5-fu toxicities
5-fu,ectropion
5-fu,"tender, red, scaled lids"
5-fluorouracil,ectropion
5-fu,dermatologic toxicities
acetazolamide,acute renal failure
acetazolamide,renal failure
acetazolamide,calcium phosphate nephrolithiasis
meloxicam,ischaemic colitis
meloxicam,endoscopic lesions
meloxicam,bloody diarrhoea
meloxicam,intestinal toxic effects
spironolactone,diarrhoea
spironolactone,"serious and, occasionally, fatal hyperkalaemia"
spironolactone,serious adverse events
oxaliplatin,dermnatitis
clofazimine,severe enteropathy
clofazimine,enteropathy
clofazimine,life-threatening
enoxaparin,severe urticarial rash
cibenzoline,blurred vision
cibenzoline,cardiac failure
cibenzoline,cibenzoline intoxication
cibenzoline,qrs broadening
fludarabine,aspergillus arthritis
fludarabine,aspergillus arthritis of the knee joint
fluvoxamine,increased libido
meglumine antimoniate,pancreatitis
ifn-alpha,hashimoto's disease
ifn-alpha,autoimmune thyroiditis
ifn-alpha,thyroid disorders
interferon-alpha,hashimoto's disease
omeprazole,peripheral edema
pantoprazole,peripheral edema
lansoprazole,pheripheral edema
omeprazole,pheripheral edema
pantoprazole,pheripheral edema
levodopa,motor fluctuations
leflunomide,weight loss
valacyclovir,neurotoxicity
cyproterone acetate,avascular necrosis of the femoral head
cyproterone acetate,femoral head avascular necrosis
levofloxacin,polymorphic ventricular tachycardia
ticlopidine,pulmonary side effects
ticlopidine,pulmonary symptoms
ticlopidine,interstitial pulmonary disease
ticlopidine,lymphocytic colitis
methadone,myoclonus
succinylcholine,fatal hyperkalemia
succinylcholine,hyperkalemia
ethanol injection,cutaneous seeding
adenosine,ventricular fibrillation
adenosine,acceleration of the ventricular rate
methylprednisolone,psychotic reaction
cbz,seizures
cbz,cortical hyperexcitability
cbz,cranial nerve areflexia
cbz,profound burst-suppression eeg pattern
cbz,reversible encephalopathy
methimazole,bone marrow toxicity
methimazole,massive plasmocytosis
mmi,massive plasmocytosis
mmi,pancytopenia
didanosine,fulminant hepatic failure
dexamethasone,bilateral avascular necrosis of the femoral heads
metformin,hemorrhage
metformin,severe inferior digestive hemorrhage
metformin,digestive hemorrhage
gentamycin,ulcer became worse
tobramycin,ulcer became worse
amprenavir,intracranial bleeding
apv,bleeding
gemcitabine,cutaneous eruption
gemcitabine,labd
gemcitabine,linear immunoglobulin a bullous dermatosis
gemcitabine,linear immunoglobulin (ig) a bullous dermatosis
gemcitabine,"symmetric, bullous, herpetiform eruption"
vancomycin,labd
taxol,peripheral neuropathy
paclitaxel,difficulty walking
taxol,difficulty walking
taxol,loss of proprioception
taxol,marked pain
morphine,spasm
morphine,biliary colic
morphine,pain
ifn-alpha,myasthenia gravis
sodium aurothiomalate,intrahepatic cholestasis
5-fluorouracil,acute lung injury
oxaliplatinum,acute lung injury
5-fluorouracil,bilateral patchy pulmonary infiltrates
oxaliplatinum,bilateral patchy pulmonary infiltrates
5-fluorouracil,diarrhoea
oxaliplatinum,diarrhoea
5-fluorouracil,t-cd4+ lymphopenia
oxaliplatinum,t-cd4+ lymphopenia
5-fluorouracil,pulmonary adverse reaction
oxaliplatinum,pulmonary adverse reaction
accutane,teratogenic
pranlukast,high fever
pranlukast,interstitial pneumonitis
ono-1078,interstitial pneumonia
pranlukast,interstitial pneumonia
indinavir,renal colicky pain
indinavir,interstitial nephritis
indinavir,nephrolithiasis
indinavir,papillary necrosis
indinavir,nephrotoxicity
rofecoxib,decline in glomerular filtration rate
ltg,encephalopathy
ltg,elevated serum ltg levels
lamotrigine,stuporous
ltg,stuporous
valproic acid,stuporous
vpa,stuporous
lamotrigine,encephalopathy
lamotrigine,stupor
olanzapine,acute intoxication
olanzapine,dead
salsalate,lichenoid drug eruption
salsalate,eruption
salsalate,lichenoid eruption
amphotericin b,seizures
amphotericin b,grand mal seizures
didanosine,seizures
amphotericin b,seizure
bupivacaine,vocal cord paralysis
bupivacaine,bilateral vocal cord paralysis
carbamazepine,right bundle branch block
dipivefrin,cicatricial entropion
dipivefrin,entropion
dipivefrin,cicatrical entropion
sulphasalazine,constellation of dermatitis
sulphasalazine,fever
sulphasalazine,hepatitis
sulphasalazine,lymphadenopathy
sulphasalazine,fatal
sulphasalazine,immunoallergic reaction
sulphasalazine,sulphasalazine syndrome
cddp,siadh
cisplatin,siadh
cisplatin,syndrome of inappropriate secretion of adh
vds,siadh
vindesine,siadh
cddp,syndrome of inappropriate secretion of antidiuretic hormone
cisplatin,syndrome of inappropriate secretion of antidiuretic hormone
vds,syndrome of inappropriate secretion of antidiuretic hormone
vindesine,syndrome of inappropriate secretion of antidiuretic hormone
scopolamine,anisocoria
lorazepam,de novo absence status
lorazepam,nonconvulsive generalized status epilepticus
vincristine,life-threatening vincristine neurotoxicity
vincristine,severe neurotoxicity
vincristine,vincristine neurotoxicity
vincristine,severe motor neuropathy
amodiaquine,asymptomatic hepatitis
artesunate,asymptomatic hepatitis
amodiaquine,hepatitis
artesunate,hepatitis
8-methoxypsoralen,systemic allergic contact dermatitis
8-mop,systemic allergic contact dermatitis
benztropine,abdominal pain
benztropine,confusion
benztropine,distention
quetiapine,agranulocytosis
quetiapine,granulocytopenia
quetiapine,haematological adverse effects
quetiapine,leucopenia
ofloxacin,toxic epidermal necrolysis
ofloxacin,stevens-johnson syndrome
g-csf,multiple erythematous nodules
g-csf,erythematous papular eruption
g-csf,neutrophilic dermatoses
granulocyte colony-stimulating factor,neutrophilic dermatoses
g-csf,neutrophilic skin lesions
granulocyte colony-stimulating factor,neutrophilic skin lesions
g-csf,painful
granulocyte colony-stimulating factor,painful
g-csf,skin eruptions
liothyronine,hyperthyroidism
triiodothyronine,thyrotoxicosis
tiagabine,vfds
tiagabine,visual field defects
mefloquine,pulmonary toxicity
mefloquine,acute lung injury
mefloquine,diffuse alveolar damage
methanol,central blindness
methanol,visual impairment
octreotide,intrahepatic bile stasis
octreotide,bile sludge
octreotide,gallstones
octreotide,hepatolithiasis
octreotide,alters bile acid composition
octreotide,gallbladder stasis
octreotide,hasten intrahepatic sludge
octreotide,stone formation
tamoxifen,endometrial carcinoma
inh,drug eruptions
isonicotinic acid hydrazide,anagen effluvium
isonicotinic acid hydrazide,lichenoid eruption
inh,anagen effluvium
inh,lichenoid eruption
carbamazepine,linear iga bullous dermatosis
carbamazepine,labd
metoclopramide,agitation
metoclopramide,confusion
metoclopramide,diaphoresis
metoclopramide,fever
metoclopramide,hypertension
metoclopramide,tachycardia
metoclopramide,tachypnea
metoclopramide,extrapyramidal reactions
sertraline,extrapyramidal reactions
venlafaxine,extrapyramidal reactions
metoclopramide,serotonin syndrome
sertraline,serotonin syndrome
venlafaxine,serotonin syndrome
metoclopramide,extrapyramidal movement disorders
sertraline,extrapyramidal movement disorders
venlafaxine,extrapyramidal movement disorders
metoclopramide,dysarthria
metoclopramide,movement disorder
metoclopramide,unresponsiveness
haloperidol,malignant neuroleptic syndrome
captopril,delated cutaneous reactions
captopril,cutaneous side-effects
captopril,dermatitis
captopril,cutaneous reaction
warfarin,hematochezia
warfarin,bleeding
interferon alpha,dilated cardiomyopathy
interferon alpha,polymyositis
interferon alpha,cardiomyopathy
interferon alpha,muscle weakness
ethanol,neoplastic seeding
ethanol,subcutaneous metastasis
tamoxifen,aggressive endometrial carcinoma
tamoxifen,endometrial disorders
tamoxifen,endometrial cancer
itraconazole,cholangiopathy
itraconazole,ductopenia
itraconazole,cholestatic pattern of injury
itraconazole,damage to the interlobular bile ducts
itraconazole,liver injury
itraconazole,hepatotoxicity
ketoconazole,hepatitis
itraconazole,liver damage
itraconazole,vanishing bile duct syndrome
itraconazole,hepatotoxic
porcine factor viii,thrombotic stroke
pfviii,thrombotic left middle cerebral artery distribution stroke
pfviii,thrombosis
interferon alfa,cutaneous sarcoidosis
ribavirin,cutaneous sarcoidosis
interferon alfa,granulomatosis
ribavirin,granulomatosis
interferon alfa,sarcoidosis
ribavirin,sarcoidosis
mirtazapine,ss
mirtazapine,serotonin syndrome
procarbazine,pulmonary toxicity
interferon (ifn)-beta,proteinuria
interferon-beta,minimal change nephrotic syndrome
ifn-beta,histological abnormalities of the glomerulus
ciprofloxacin,delayed elimination
methotrexate,delayed elimination
ciprofloxacin,toxicity
lansoprazole,thrombocytopenia
lansoprazole,thrombocytopenic
lansoprazole,platelet count decreased
amifostine,anaphylactoid reaction
amifostine,allergic reactions
amifostine,hypocalcemia
amifostine,hypotension
amifostine,nausea
amifostine,vomiting
amifostine,life-threatening anaphylactoid reaction
olanzapine,nms
olanzapine,neuroleptic malignant syndrome
zuclopenthixol,painful erection
zuclopenthixol,priapism
metamizole,sepsis
metamizole,agranulocytosis
mitomycin,hemolytic-uremic syndrome
levofloxacin,toxic epidermal necrolysis
levofloxacin,ten
bleomycin,grand mal seizures
cisplatin,grand mal seizures
vinblastine,grand mal seizures
bleomycin,posterior leukoencephalopathy
cisplatin,posterior leukoencephalopathy
vinblastine,posterior leukoencephalopathy
il-2,hemorrhagic lesion
il-2,pancytopenia
il-2,toxic epidermal necrolysis
il-2,cutaneous and hematologic toxicity
il-2,mortality rate <3
interleukin-2,toxic epidermal necrolysis
gelofusine,anaphylactoid reaction
gelofusine,gelofusine allergy
valproate,hyperammonemia
valproate,mental status changes
valproate,altered mental status
cyclophosphamide,leiomyosarcoma
amisulpride,nms
clozapine,nms
risperidone,nms
fludarabine,cough
fludarabine,fever
fludarabine,lung disease
fludarabine,lung toxicity
fludarabine,multiple pulmonary nodules
fludarabine,pulmonary toxicity
fludarabine,pulmonary nodules
fludarabine,interstitial pneumonitis
epoprostenol,erythroderma
epoprostenol,fever
epoprostenol,nausea
epoprostenol,rapidly progressive erythema
epoprostenol,scaling
epoprostenol,vomiting
ticlopidine,marrow aplasia
rosiglitazone,lower leg edema
pioglitazone,bilateral lower leg edema
rosiglitazone,"ankle, hand, and facial swelling"
verapamil,polymorphic ventricular tachycardia
verapamil,proarrhythmic effect
verapamil,non-sustained polymorphic ventricular tachycardia
epsilon-aminocaproic acid,renal complications
lidocaine,mydriasis
lidocaine,pupillary mydriasis
lidocaine,dilated pupils
2-deoxycoformycin,acute myeloid leukemia
2-deoxycoformycin,myelodysplasia
2-chlorodeoxyadenosine,aml
vasopressin,ischemic skin complications
vasopressin,skin necrosis
mitomycin-c,hemolytic uremic syndrome
cladribine,vasculitis
cladribine,systemic vasculitis
cladribine,thrombocytopenia
d-penicillamine,mammary hyperplasias
neothetazone,mammary hyperplasias
bucillamine,gigantomastia
bucillamine,giant hypertrophy
d-penicillamine,mammary hyperplasia
bucillamine,giant mammary hyperplasia
valproic acid,fvs
valproate,developmental delay
valproate,distinctive facial appearance
valproate,fetal valproate syndrome
valproate,fvs
valproate,major and minor malformations
valproate,valproate embryopathy
cyclosporin a,generalised pustular psoriasis
cyclosporin a,aggravation of the joint condition
cyclosporin a,generalised pustular exacerbation
ticlopidine,aplastic anemia
ticlopidine,neutropenic
ticlopidine,tiaa
ticlopidine,cytotoxic effect
rofecoxib,fixed drug eruption
rofecoxib,herpetiform fixed drug eruption
rofecoxib,red-brown lesion
thyroid hormone,hypothyroidism
gemcitabine,hemolytic-uremic syndrome
gemcitabine,renal toxicity
amiodarone,optic neuropathy
amiodarone,corneal deposits
amiodarone hcl,color vision anomalies
amiodarone hcl,decreased vision
amiodarone hcl,glare
amiodarone hcl,"visual ""shining"
amiodarone,visual changes
amiodarone,ocular effects
digoxin,ocular effects
digoxin,visual changes
benzalkonium,circumoral and pharyngeal burns
zephiran,circumoral and pharyngeal burns
rifabutin,side-effect on retinal function
rifabutin,decreased vision
rifabutin,retinal damage
rifabutin,anterior segment deposits
rifabutin,retinal dysfunction
rifabutin,visual disturbance
nefazodone,benzodiazepine withdrawal symptoms
mizoribin,siadh
mizoribin,adh hypersecretion
bredinin,siadh
mizoribin,syndrome of inappropriate secretion of antidiuretic hormone
cyclosporin,lymphoma
methotrexate,lymphoma
interferon-alpha,nephrotic syndrome
interferon beta-1a,seizures
clomipramine,extrapyramidal symptoms
interferon beta-1a,extrapyramidal symptoms
clomipramine,seizures
carboplatin,collapsed
cyclophosphamide,collapsed
carboplatin,coronary vasospasm
carboplatin,hyperacute changes on ecg
methazolamide,acute respiratory failure
neptazane,acute respiratory failure
methazolamide,metabolic acidosis
neptazane,metabolic acidosis
capecitabine,allergic reactions
capecitabine,allergic reaction
capecitabine,dizziness
capecitabine,generalized rash
capecitabine,itching
capecitabine,sore throat
methylprednisolone,steroid diabetes
methylprednisolone,glycemia
cytarabine,ppe
cytarabine,palmar-plantar erythrodysaesthesia
cytarabine,bullous eruption
tamoxifen,malignant transformation of endometriosis
tamoxifen,ovarian cancer
tamoxifen,ovarian endometrioid adenocarcinoma
metronidazole,"clinical, spectroscopic, and imaging abnormalities"
metronidazole,lactate elevation
metronidazole,reversible mr imaging and mr spectroscopy abnormalities
cisplatin,anaphylaxis
isradipine,hepatocellular injury
clarithromycin,increasing the hepatic toxicity
isradipine,increasing the hepatic toxicity
clarithromycin,fulminant liver failure
clarithromycin,fulminant hepatic failure
clarithromycin,liver failure
brimonidine,paradoxical ocular effect
brimonidine,paradoxical raised iop
brimonidine,paradoxical effect
brimonidine,iop elevation
gabapentin,anxiety
gabapentin,diaphoresis
gabapentin,generalized seizures
gabapentin,palpitations
gabapentin,status epilepticus
zonisamide,altered mental status
zonisamide,visual hallucinations
doxycycline,hypoglycemia
mtx,anaphylactic reactions
mtx,chest tightness
mtx,cough
mtx,diffuse urticaria
mtx,facial swelling
mtx,hypersensitivity reaction
mtx,allergy
methotrexate,systemic anaphylaxis
cytarabine,balint syndrome
methotrexate,balint syndrome
cytarabine,posterior leukoencephalopathy
methotrexate,posterior leukoencephalopathy
melphalan,gtbm
l-asparaginase,cortical venous thrombosis
l-asparaginase,dural puncture headache
sirolimus,interstitial pneumonitis
rapamycin,pneumonitis
sirolimus,pneumonitis
rapamycin,pulmonary infiltrate
sirolimus,pulmonary infiltrate
sr,pulmonary infiltrate
rapammune,hyperlipidemia
rapamycin,hyperlipidemia
sirolimus,hyperlipidemia
sr,hyperlipidemia
rapammune,hypertension
rapamycin,hypertension
sirolimus,hypertension
sr,hypertension
rapammune,infection
rapamycin,infection
sirolimus,infection
sr,infection
rapammune,myelosuppression
rapamycin,myelosuppression
sirolimus,myelosuppression
sr,myelosuppression
lithium,fever
olanzapine,fever
lithium,generalized rigidity
olanzapine,generalized rigidity
lithium,increased serum transaminase and creatine kinase
olanzapine,increased serum transaminase and creatine kinase
lithium,leukocytosis
olanzapine,leukocytosis
lithium,nms
lithium,neuroleptic malignant syndrome
6-mp,hepatotoxicity
aza,hepatotoxicity
6-thioguanine,hepatotoxicity
thiopurine,hepatic injury
6-tg,abnormal liver enzymes
6-tg,liver enzyme abnormalities
6-tg,elevation of serum transaminases
lisinopril,multiorgan failure
cyclophosphamide,panhypogammaglobulinaemia
prednisolone,panhypogammaglobulinaemia
propranolol,fulminant hepatic failure
propylthiouracil,fulminant hepatic failure
propylthiouracil,fulminant hepatitis
propylthiouracil,hepatic injury
propylthiouracil,submassive hepatic necrosis
risperidone,hypothermia
clozapine,akathisia
lithium,blindness
lithium,cpm
lithium,central pontine myelinolysis
lithium,temporary blindness
propylthiouracil,elevated hepatic enzymes
ptu,elevated hepatic enzymes
propylthiouracil,hepatic impairment
ifn-alpha,mpgn
interferon-alpha,mpgn
ifn-alpha,minimal change disease
hydroxyurea,chronic myeloid leukaemia
hydroxyurea,cml
hydroxyurea,philadelphia positive chronic myeloid leukaemia
chloroquine,chloroquine toxicity
chloroquine,severe chloroquine toxicity
chloroquine,toxicity
carbimazole,fever
carbimazole,sore throat
carbimazole,agranulocytosis
carbimazole,sepsis
carbimazole,neutropenic sepsis
mitomycin c,comeoscleral perforation
mitomycin c,corneoscleral melting
sulfonamide,bullous drug reaction
sulfonamide,stevens-johnson syndrome
